GAP ANALYSIS SUMMARY — AL, AR, CA, DE, KS, MD, MI, MN, MO, NC, PA, TX, VA, WA
Generated against: Alabama Sentencing Commission Presumptive Manual 2024, Arkansas Sentencing Commission Benchbook 2026, California CALCRIM 2026 (Judicial Council Jury Instructions), Delaware SENTAC Benchbook 2025, KS Sentencing Commission 2013, Maryland MSCCSP Offense Table Jan 2026, MI Sentencing Guidelines Oct 2024, Minnesota Sentencing Guidelines Aug 2025, MO Charge Code Manual Feb 2026, NC Combined Offense List Dec 2025, PA Commission on Sentencing 8th Edition 2024, Texas Legislative Council Felony Offenses 2018, Virginia Crime Code System FY17, Washington Adult Sentencing Manual Oct 2025

======================================================================
AL
======================================================================
Our entries:            129
Authoritative entries:  87
Matched:                40 (31%)
Unmatched (phantom?):   89
Missing from ours:      45
Citation mismatches:    22

UNMATCHED — charges we have with no authoritative match:
  [F] Vehicular Homicide                                 | Ala. Code § 32-5A-192 | confidence: needs_review
  Operating under the influence/while impaired with a minor in the vehicle – subsequent offense | Mich. Comp. Laws § 257.625(7)(a)(ii) | Felony class E
  Operating a vehicle while intoxicated or impaired or with the presence of a controlled substance with a minor in the vehicle – subsequent offense | Mich. Comp. Laws § 257.625(7)(a)(ii) | Felony class E
  OUIL – third offense                               | Mich. Comp. Laws § 257.625(7)(d) | Felony class E
  Operating a vehicle under the influence – third or subsequent offense | Mich. Comp. Laws § 257.625(8)(c) | Felony class E
  Allowing a vehicle to be operated while under the influence or impaired causing death | Mich. Comp. Laws § 257.625(9)(b) | Felony class E
  Allowing a vehicle to be operated while under the influence/impaired – serious impairment | Mich. Comp. Laws § 257.625(9)(c) | Felony class G
  Operating a vehicle while intoxicated or with the presence of a controlled substance – third or subsequent offense | Mich. Comp. Laws § 257.625(9)(c) | Felony class E
  Allowing a vehicle to be operated while intoxicated or impaired causing death | Mich. Comp. Laws § 257.625(10)(b) | Felony class E
  Impaired driving – third or subsequent offense     | Mich. Comp. Laws § 257.625(10)(c) | Felony class E
  Allowing a vehicle to be operated while intoxicated or impaired causing serious impair- ment | Mich. Comp. Laws § 257.625(10)(c) | Felony class G
  Operating a vehicle while impaired – third or subsequent offense | Mich. Comp. Laws § 257.625(11)(c) | Felony class E
  Knowingly providing false information concerning an ignition interlock device | Mich. Comp. Laws § 257.625k(7) | Felony class D
  Failure to report that an ignition interlock device does not meet legal requirements | Mich. Comp. Laws § 257.625k(9) | Felony class D
  Commercial drunk driving – third or subsequent offense | Mich. Comp. Laws § 257.625m(5) | Felony class E
  Disposing of vehicle to avoid forfeiture           | Mich. Comp. Laws § 257.625n(10) | Felony class G
  Knowingly providing false information concerning an ignition interlock device | Mich. Comp. Laws § 257.625q(3) | Felony class D
  Failure to report illegal ignition interlock device | Mich. Comp. Laws § 257.625q(5) | Felony class D
  Felonious driving                                  | Mich. Comp. Laws § 257.626c | Felony class G
  Failure to use due care and caution causing injury to emergency personnel | Mich. Comp. Laws § 257.653a(3) | Felony class G
  Failure to use due care and caution causing death to emergency personnel | Mich. Comp. Laws § 257.653a(4) | Felony class C
  False statement in citation – perjury              | Mich. Comp. Laws § 257.744a | Felony class D
  Motor vehicle code violations                      | Mich. Comp. Laws § 257.902 | Felony class E
  Motor vehicle code – false certification – first offense | Mich. Comp. Laws § 257.903(1) | Felony class E
  Motor vehicle code – false certification – second offense | Mich. Comp. Laws § 257.903(2) | Felony class E
  ... and 1258 more felonies

MISSING MISDEMEANORS — in authoritative source but not in our database (sample):

======================================================================
MN
======================================================================
Our entries:            131
Authoritative entries:  406
Matched:                40 (30%)
Unmatched (phantom?):   91
Missing from ours:      362
Citation mismatches:    21

UNMATCHED — charges we have with no authoritative match:
  [F] Criminally Negligent Homicide                      | Minn. Stat. § 609.21 | confidence: high
  [M] Menacing                                           | Minn. Stat. § 609.713 | confidence: high
  [F] Rape in the First Degree                           | Minn. Stat. § 609.342 | confidence: high
  [F] Rape in the Second Degree                          | Minn. Stat. § 609.343 | confidence: high
  [F] Statutory Rape                                     | Minn. Stat. § 609.344 | confidence: high
  [F] Sexual Exploitation of Minor                       | Minn. Stat. § 617.246 | confidence: high
  [F] Grand Theft in the First Degree                    | Minn. Stat. § 609.52(3)(a)(1) | confidence: high
  [F] Grand Theft in the Second Degree                   | Minn. Stat. § 609.52(3)(a)(2) | confidence: high
  [M] Petty Theft                                        | Minn. Stat. § 609.52 | confidence: high
  [M] Theft by Receiving                                 | Minn. Stat. § 609.53 | confidence: high
  [F] Identity Theft                                     | Minn. Stat. § 609.527 | confidence: high
  [F] Credit Card Fraud                                  | Minn. Stat. § 609.821 | confidence: high
  [F] Embezzlement                                       | Minn. Stat. § 609.52(2)(a)(4) | confidence: high
  [M] Shoplifting                                        | Minn. Stat. § 609.52 | confidence: high
  [F] Residential Burglary                               | Minn. Stat. § 609.582(1)(a) | confidence: high
  [F] Commercial Burglary                                | Minn. Stat. § 609.582(2)(a) | confidence: high
  [F] Auto Burglary                                      | Minn. Stat. § 609.582(4) | confidence: high
  [F] Bank Robbery                                       | Minn. Stat. § 609.245 | confidence: high
  [F] Possession with Intent to Distribute               | Minn. Stat. § 152.022 | confidence: high
  [F] Drug Trafficking                                   | Minn. Stat. § 152.021 | confidence: high
  [M] Possession of Drug Paraphernalia                   | Minn. Stat. § 152.092 | confidence: high
  [F] Maintaining Drug House                             | Minn. Stat. § 152.025(2)(3) | confidence: high
  [M] Unlawful Carrying of Weapon                        | Minn. Stat. § 624.714 | confidence: high
  [F] Felon in Possession of Firearm                     | Minn. Stat. § 624.713 | confidence: high
  [F] Possession of Prohibited Weapon                    | Minn. Stat. § 609.67 | confidence: high
  [F] Wire Fraud                                         | Minn. Stat. § 609.52(2)(a)(3) | confidence: high
  [F] Mail Fraud                                         | Minn. Stat. § 609.27 | confidence: high
  [F] Check Fraud                                        | Minn. Stat. § 609.535 | confidence: high
  [F] Tax Fraud                                          | Minn. Stat. § 289A.63 | confidence: high
  [F] Computer Fraud                                     | Minn. Stat. § 609.87 | confidence: high
  [M] Disorderly Conduct                                 | Minn. Stat. § 609.72 | confidence: high
  [M] Public Intoxication                                | Minn. Stat. § 340A.902 | confidence: high
  [M] Disturbing the Peace                               | Minn. Stat. § 609.72 | confidence: high
  [M] Trespassing                                        | Minn. Stat. § 609.605 | confidence: high
  [M] Vandalism                                          | Minn. Stat. § 609.595 | confidence: high
  [M] Loitering                                          | Minn. Stat. § 609.725 | confidence: high
  [M] DUI First Offense                                  | Minn. Stat. § 169A.20 | confidence: high
  [M] DUI Second Offense                                 | Minn. Stat. § 169A.25 | confidence: high
  [F] DUI Third Offense                                  | Minn. Stat. § 169A.24 | confidence: high
  [M] Reckless Driving                                   | Minn. Stat. § 169.13 | confidence: high
  [M] Hit and Run                                        | Minn. Stat. § 169.09 | confidence: high
  [M] Theft Under $500                                   | Minn. Stat. § 609.52(3)(5) | confidence: high
  [M] DWI                                                | Minn. Stat. § 169A.20 | confidence: high
  [M] Trespass                                           | Minn. Stat. § 609.605 | confidence: high
  [M] Possession of Small Amount Marijuana               | Minn. Stat. § 152.027(4) | confidence: high
  [M] Driving After Revocation                           | Minn. Stat. § 171.24(2) | confidence: high
  [M] Probation Violation                                | Minn. Stat. § 609.14 | confidence: high
  [M] Resisting Arrest / Obstruction                     | Minn. Stat. § 609.50 | confidence: high
  [M] Open Container Violation                           | Minn. Stat. § 169A.35 | confidence: high
  [M] Minor in Possession of Alcohol                     | Minn. Stat. § 340A.503(1) | confidence: high
  [M] Providing False Information to Police              | Minn. Stat. § 609.505 | confidence: high
  [M] Contempt of Court                                  | Minn. Stat. § 588.01 | confidence: high
  [M] Writing Bad Checks / Worthless Checks              | Minn. Stat. § 609.535 | confidence: high
  [M] Solicitation / Prostitution                        | Minn. Stat. § 609.324 | confidence: high
  [M] Driving Without Insurance                          | Minn. Stat. § 169.792 | confidence: high
  [M] Reckless/Careless Driving (Criminal)               | Minn. Stat. § 169.13 | confidence: high
  [M] Driving with Expired Registration                  | Minn. Stat. § 168.09 | confidence: high
  [M] Driving with Expired/No Inspection                 | Minn. Stat. § 169.781 | confidence: high
  [M] Criminal Nonsupport / Failure to Pay Child Support | Minn. Stat. § 609.375 | confidence: high
  [M] Noise Violation / Disturbing the Peace by Noise    | Minn. Stat. § 609.72(1)(3) | confidence: high
  [M] Possession of Fake/Fraudulent ID                   | Minn. Stat. § 340A.703 | confidence: high
  [M] Animal at Large / Leash Law Violation              | Minn. Stat. § 347.03 | confidence: high
  [M] Animal Cruelty (Misdemeanor)                       | Minn. Stat. § 343.21(2) | confidence: high
  [M] Illegal Camping / Sleeping in Public               | Minn. Stat. § 609.605(1)(b)(3) | confidence: high
  [M] Panhandling / Aggressive Solicitation              | Minn. Stat. § 609.72(1) | confidence: high
  [M] Operating Unregistered / Uninsured Vehicle         | Minn. Stat. § 168.09 | confidence: high
  [M] Curfew Violation                                   | Minn. Stat. § 260C.143 | confidence: high
  [M] Trespass After Warning / Return After Ban          | Minn. Stat. § 609.605 | confidence: high
  [I] Defective Vehicle Equipment / Broken Taillight     | Minn. Stat. § 169.47 | confidence: high
  [M] Truancy / Chronic Absenteeism                      | Minn. Stat. § 260C.007(6)(c) | confidence: high
  [M] Littering / Illegal Dumping                        | Minn. Stat. § 609.68 | confidence: high
  [M] Illegal Discharge of Fireworks                     | Minn. Stat. § 624.20 | confidence: high
  [M] Possession of Alcohol in Park / Prohibited Area    | Minn. Stat. § 340A.503(2) | confidence: high
  [M] Fishing / Hunting Without a License                | Minn. Stat. § 97A.421 | confidence: high
  [F] Criminal Attempt                                   | Minn. Stat. § 609.17 | confidence: high
  [F] Criminal Conspiracy                                | Minn. Stat. § 609.175 | confidence: high
  [F] Aiding and Abetting / Accomplice Liability         | Minn. Stat. § 609.05 | confidence: high
  [F] Attempted Robbery                                  | Minn. Stat. §§ 609.17, 609.24 | confidence: high
  [F] Attempted Sexual Assault                           | Minn. Stat. §§ 609.17, 609.342 | confidence: high
  [F] Criminal Solicitation                              | Minn. Stat. § 609.195 | confidence: high
  [F] Criminal Street Gang Enhancement                   | Minn. Stat. § 609.229 | confidence: high
  [F] Hate Crime Enhancement                             | Minn. Stat. § 609.2231(4) | confidence: high
  [F] Prior Felony / Recidivist Sentencing Enhancement   | Minn. Stat. § 609.108 | confidence: high
  [F] Use of a Firearm in Commission of a Felony         | Minn. Stat. § 609.11 | confidence: high
  [F] Drug Offense in a School Zone (Proximity Enhancement) | Minn. Stat. § 152.022(2)(3) | confidence: high
  [F] RICO / Organized Crime (Racketeering)              | Minn. Stat. § 609.903 | confidence: high
  [F] Money Laundering                                   | Minn. Stat. § 609.322 | confidence: high
  [F] Juvenile Delinquency Adjudication (Felony-Level Act) | Minn. Stat. § 260B.101(1) | confidence: high
  [M] Juvenile Delinquency Adjudication (Misdemeanor-Level Act) | Minn. Stat. § 260B.101(1) | confidence: high
  [F] Juvenile Transfer to Adult Court (Waiver Hearing)  | Minn. Stat. § 260B.125 | confidence: high
  [F] Juvenile Firearm Possession                        | Minn. Stat. § 624.713 | confidence: high

CITATION MISMATCHES — matched charges with differing section numbers:
  Murder in the First Degree                    | ours: 609.185            | auth: 609.195
  Murder in the Second Degree                   | ours: 609.19             | auth: 609.195
  Involuntary Manslaughter                      | ours: 609.205            | auth: 609.20
  Felony Murder                                 | ours: 609.185            | auth: 609.195
  Assault in the First Degree                   | ours: 609.221            | auth: 609.222
  Assault in the Third Degree                   | ours: 609.223            | auth: 609.222
  Aggravated Assault                            | ours: 609.225            | auth: 609.222
  Assault with Deadly Weapon                    | ours: 609.222            | auth: 609.582
  Assault on Peace Officer                      | ours: 609.2231           | auth: 609.504
  Sexual Assault in the First Degree            | ours: 609.342            | auth: 609.222
  Sexual Assault in the Second Degree           | ours: 609.343            | auth: 609.222
  Sexual Assault in the Third Degree            | ours: 609.344            | auth: 609.222
  Child Sexual Abuse                            | ours: 609.342            | auth: 617.247
  Robbery in the Second Degree                  | ours: 609.24             | auth: 609.245
  Possession of Controlled Substance            | ours: 152.025            | auth: 152.097
  Distribution of Controlled Substance          | ours: 152.021            | auth: 152.097
  Insurance Fraud                               | ours: 609.611            | auth: 609.612
  Driving While Suspended                       | ours: 171.24             | auth: 169A.24
  Assault 5th Degree                            | ours: 609.224            | auth: 609.222
  Violation of Protective Order                 | ours: 518B.01            | auth: 609.2334
  Attempted Murder                              | ours: 609.17             | auth: 609.195

MISSING FELONIES — in authoritative source but not in our database:
  Adulteration                                       | Minn. Stat. § 609.687, subd. 3(1) | Severity Level 11
  Assault 1st Degree (Great Bodily Harm Upon Official by Dangerous Weapon or Deadly Force) | Minn. Stat. § 609.221, subd. 4 | Severity Level 11
  Murder 2nd Degree (Intentional Murder; Unintentional Drive-By Shootings) | Minn. Stat. § 609.19, subd. 1 | Severity Level 11
  Murder of an Unborn Child 2nd Degree               | Minn. Stat. § 609.2662(1) | Severity Level 11
  Assault 1st Degree (Great Bodily Harm Upon Official) | Minn. Stat. § 609.221, subd. 3 | Severity Level 10
  Fleeing a Peace Officer (Death)                    | Minn. Stat. § 609.487, subd. 4(a) | Severity Level 10
  Murder of an Unborn Child 2nd Degree               | Minn. Stat. § 609.2662(2) | Severity Level 10
  Murder of an Unborn Child 3rd Degree               | Minn. Stat. § 609.2663 | Severity Level 10
  Assault 1st Degree (Deadly Force Against Official) | Minn. Stat. § 609.221, subd. 2 | Severity Level 9
  Assault 1st Degree (Great Bodily Harm)             | Minn. Stat. § 609.221, subd. 1 | Severity Level 9
  Assault of an Unborn Child 1st Degree              | Minn. Stat. § 609.267 | Severity Level 9
  Criminal Abuse of Vulnerable Adult (Death)         | Minn. Stat. § 609.2325, subd. 3(1) | Severity Level 9
  Death of an Unborn Child in the Commission of Crime | Minn. Stat. § 609.268, subd. 1 | Severity Level 9
  Engage or Hire a Minor to Engage in Prostitution   | Minn. Stat. § 609.324, subd. 1(a) | Severity Level 9
  Kidnapping (Great Bodily Harm)                     | Minn. Stat. § 609.25, subd. 2(2)(ii) | Severity Level 9
  Labor Trafficking (Death)                          | Minn. Stat. § 609.282, subd. 1 | Severity Level 9
  Manslaughter of an Unborn Child 1st Degree         | Minn. Stat. § 609.2664(1) & (2) | Severity Level 9
  Tampering with Witness, Aggravated 1st Degree      | Minn. Stat. § 609.498, subd. 1b | Severity Level 9
  Arson 1st Degree                                   | Minn. Stat. § 609.561 | Severity Level 8
  Child Torture                                      | Minn. Stat. § 609.3775 | Severity Level 8
  Criminal Abuse of Vulnerable Adult (Great Bodily Harm) | Minn. Stat. § 609.2325, subd. 3(2) | Severity Level 8
  Criminal Vehicular Homicide (Death, and Qualified Prior Conviction) | Minn. Stat. § 609.2112, subd. 1(b) | Severity Level 8
  Criminal Vehicular Operation (Death to an Unborn Child) | Minn. Stat. § 609.2114, subd. 1(a) | Severity Level 8
  Criminal Vehicular Operation (Death to an Unborn Child, and Qualified Prior Conviction) | Minn. Stat. § 609.2114, subd. 1(b) | Severity Level 8
  Deprivation of Vulnerable Adult (Great Bodily Harm) | Minn. Stat. § 609.233, subd. 3(1) | Severity Level 8
  Drive-By Shooting (Toward a Person or Occupied Motor Vehicle or Building) & (3) | Minn. Stat. § 609.66, subd. 1e(a)(2) | Severity Level 8
  Escape with Violence from Felony Offense           | Minn. Stat. § 609.485, subd. 4(b) | Severity Level 8
  Fictitious Emergency Call (Great Bodily Harm or Death) | Minn. Stat. § 609.78, subd. 2a(1) | Severity Level 8
  Great Bodily Harm Caused by Distribution of Drugs  | Minn. Stat. § 609.228 | Severity Level 8
  Identity Theft (8 or More Direct Victims or Loss Over $35,000) | Minn. Stat. § 609.527, subd. 3(5) | Severity Level 8
  Identity Theft (Related to Child Sexual Abuse Material) | Minn. Stat. § 609.527, subd. 3(6) | Severity Level 8
  Kidnapping (Not Released in Safe Place or Victim Under 16) (iii) | Minn. Stat. § 609.25, subd. 2(2)(i) & | Severity Level 8
  Labor Trafficking (Great Bodily Harm)              | Minn. Stat. § 609.282, subd. 1a(3) | Severity Level 8
  Labor Trafficking (Minor Victim)                   | Minn. Stat. § 609.282, subd. 1a(1) | Severity Level 8
  Machine Gun, Trigger Activator, or Conversion Kit  | Minn. Stat. § 609.67, subd. 2(a) | Severity Level 8
  Malicious Punishment of Child (Great Bodily Harm)  | Minn. Stat. § 609.377, subd. 6 | Severity Level 8
  Manslaughter of an Unborn Child 1st Degree         | Minn. Stat. § 609.2664(3) | Severity Level 8
  Manslaughter 2nd Degree – Culpable Negligence      | Minn. Stat. § 609.205(1) & (5) | Severity Level 8
  Manslaughter of an Unborn Child 2nd Degree         | Minn. Stat. § 609.2665(1) | Severity Level 8
  Riot 1st Degree                                    | Minn. Stat. § 609.71, subd. 1 | Severity Level 8
  ... and 322 more felonies

MISSING MISDEMEANORS — in authoritative source but not in our database (sample):

======================================================================
MO
======================================================================
Our entries:            130
Authoritative entries:  2675
Matched:                62 (47%)
Unmatched (phantom?):   68
Missing from ours:      2568
Citation mismatches:    38

UNMATCHED — charges we have with no authoritative match:
  [F] Criminally Negligent Homicide                      | Mo. Rev. Stat. § 565.024 | confidence: high
  [F] Vehicular Homicide                                 | Mo. Rev. Stat. § 565.024(1)(2) | confidence: high
  [F] Assault with Deadly Weapon                         | Mo. Rev. Stat. § 565.052(1)(1) | confidence: high
  [F] Assault on Peace Officer                           | Mo. Rev. Stat. § 565.083 | confidence: low
  [M] Menacing                                           | Mo. Rev. Stat. § 565.090 | confidence: medium
  [F] Grand Theft in the First Degree                    | Mo. Rev. Stat. § 570.030(2)(a) | confidence: medium
  [F] Grand Theft in the Second Degree                   | Mo. Rev. Stat. § 570.030 | confidence: medium
  [M] Petty Theft                                        | Mo. Rev. Stat. § 570.030(3) | confidence: medium
  [M] Theft by Receiving                                 | Mo. Rev. Stat. § 570.080 | confidence: medium
  [F] Embezzlement                                       | Mo. Rev. Stat. § 570.030 | confidence: medium
  [M] Shoplifting                                        | Mo. Rev. Stat. § 570.030 | confidence: medium
  [F] Carjacking                                         | Mo. Rev. Stat. § 570.025 | confidence: medium
  [F] Possession with Intent to Distribute               | Mo. Rev. Stat. § 579.020 | confidence: high
  [F] Drug Trafficking                                   | Mo. Rev. Stat. § 579.065 | confidence: high
  [F] Maintaining Drug House                             | Mo. Rev. Stat. § 579.105 | confidence: high
  [F] Wire Fraud                                         | Mo. Rev. Stat. § 570.095 | confidence: medium
  [F] Mail Fraud                                         | Mo. Rev. Stat. § 570.180 | confidence: medium
  [F] Check Fraud                                        | Mo. Rev. Stat. § 570.110 | confidence: medium
  [F] Insurance Fraud                                    | Mo. Rev. Stat. § 375.991 | confidence: medium
  [F] Tax Fraud                                          | Mo. Rev. Stat. § 143.911 | confidence: medium
  [F] Computer Fraud                                     | Mo. Rev. Stat. § 569.095 | confidence: medium
  [M] Public Intoxication                                | Mo. Rev. Stat. § 574.075 | confidence: high
  [M] Disturbing the Peace                               | Mo. Rev. Stat. § 574.010 | confidence: medium
  [M] Loitering                                          | Mo. Rev. Stat. § 574.050 | confidence: medium
  [M] DUI First Offense                                  | Mo. Rev. Stat. § 577.010 | confidence: high
  [M] DUI Second Offense                                 | Mo. Rev. Stat. § 577.010(2) | confidence: high
  [F] DUI Third Offense                                  | Mo. Rev. Stat. § 577.010(3) | confidence: high
  [M] Reckless Driving                                   | Mo. Rev. Stat. § 304.012 | confidence: medium
  [M] Hit and Run                                        | Mo. Rev. Stat. § 577.060 | confidence: medium
  [M] Possession of Marijuana 10g or Less                | Mo. Rev. Stat. § 579.015 | confidence: medium
  [M] Resisting Arrest / Obstruction                     | Mo. Rev. Stat. § 575.150 | confidence: medium
  [M] Open Container Violation                           | Mo. Rev. Stat. § 577.017 | confidence: high
  [M] Minor in Possession of Alcohol                     | Mo. Rev. Stat. § 311.325 | confidence: medium
  [M] Writing Bad Checks / Worthless Checks              | Mo. Rev. Stat. § 570.120 | confidence: medium
  [M] Driving Without Insurance                          | Mo. Rev. Stat. § 303.025 | confidence: medium
  [M] Reckless/Careless Driving (Criminal)               | Mo. Rev. Stat. § 304.012 | confidence: medium
  [M] Driving with Expired/No Inspection                 | Mo. Rev. Stat. § 307.350 | confidence: medium
  [M] Criminal Nonsupport / Failure to Pay Child Support | Mo. Rev. Stat. § 568.040 | confidence: medium
  [M] Noise Violation / Disturbing the Peace by Noise    | Mo. Rev. Stat. § 574.010(1)(2) | confidence: medium
  [M] Indecent Exposure / Public Urination               | Mo. Rev. Stat. § 566.093 | confidence: high
  [M] Possession of Fake/Fraudulent ID                   | Mo. Rev. Stat. § 311.328 | confidence: medium
  [M] Animal at Large / Leash Law Violation              | Mo. Rev. Stat. § 272.010 | confidence: medium
  [M] Animal Cruelty (Misdemeanor)                       | Mo. Rev. Stat. § 578.012(1)(3) | confidence: medium
  [M] Illegal Camping / Sleeping in Public               | Mo. Rev. Stat. § 569.140 | confidence: medium
  [M] Panhandling / Aggressive Solicitation              | Mo. Rev. Stat. § 574.010 | confidence: medium
  [M] Curfew Violation                                   | Mo. Rev. Stat. § 544.216 | confidence: medium
  [M] Trespass After Warning / Return After Ban          | Mo. Rev. Stat. § 569.140 | confidence: medium
  [I] Defective Vehicle Equipment / Broken Taillight     | Mo. Rev. Stat. § 307.020 | confidence: medium
  [M] Truancy / Chronic Absenteeism                      | Mo. Rev. Stat. § 167.031 | confidence: medium
  [M] Littering / Illegal Dumping                        | Mo. Rev. Stat. § 577.070 | confidence: medium
  [M] Illegal Discharge of Fireworks                     | Mo. Rev. Stat. § 320.106 | confidence: medium
  [M] Possession of Alcohol in Park / Prohibited Area    | Mo. Rev. Stat. § 311.327 | confidence: medium
  [M] Fishing / Hunting Without a License                | Mo. Rev. Stat. § 252.040 | confidence: medium
  [F] Criminal Attempt                                   | Mo. Rev. Stat. § 564.011 | confidence: medium
  [F] Criminal Conspiracy                                | Mo. Rev. Stat. § 564.016 | confidence: medium
  [F] Aiding and Abetting / Accomplice Liability         | Mo. Rev. Stat. § 562.041 | confidence: medium
  [F] Accessory After the Fact                           | Mo. Rev. Stat. § 575.080 | confidence: medium
  [F] Attempted Sexual Assault                           | Mo. Rev. Stat. §§ 562.012, 566.030 | confidence: high
  [F] Criminal Solicitation                              | Mo. Rev. Stat. § 564.021 | confidence: medium
  [F] Criminal Street Gang Enhancement                   | Mo. Rev. Stat. § 578.425 | confidence: medium
  [F] Hate Crime Enhancement                             | Mo. Rev. Stat. § 557.035 | confidence: medium
  [F] Prior Felony / Recidivist Sentencing Enhancement   | Mo. Rev. Stat. § 558.016 | confidence: medium
  [F] Use of a Firearm in Commission of a Felony         | Mo. Rev. Stat. § 571.015 | confidence: medium
  [F] Drug Offense in a School Zone (Proximity Enhancement) | Mo. Rev. Stat. § 579.030 | confidence: high
  [F] RICO / Organized Crime (Racketeering)              | Mo. Rev. Stat. § 513.607 | confidence: medium
  [F] Juvenile Delinquency Adjudication (Felony-Level Act) | Mo. Rev. Stat. § 211.031(1)(a) | confidence: medium
  [M] Juvenile Delinquency Adjudication (Misdemeanor-Level Act) | Mo. Rev. Stat. § 211.031(1)(a) | confidence: medium
  [F] Juvenile Transfer to Adult Court (Waiver Hearing)  | Mo. Rev. Stat. § 211.071 | confidence: medium

CITATION MISMATCHES — matched charges with differing section numbers:
  Murder in the Second Degree                   | ours: 565.021            | auth: 565.020
  Felony Murder                                 | ours: 565.021            | auth: 565.020
  Assault in the First Degree                   | ours: 565.050            | auth: 565.052
  Assault in the Third Degree                   | ours: 565.054            | auth: 565.052
  Aggravated Assault                            | ours: 565.050            | auth: 565.052
  Domestic Violence Assault                     | ours: 565.076            | auth: 565.073
  Rape in the First Degree                      | ours: 566.030            | auth: 566.031
  Sexual Assault in the First Degree            | ours: 566.030            | auth: 565.052
  Sexual Assault in the Second Degree           | ours: 566.030            | auth: 565.052
  Sexual Assault in the Third Degree            | ours: 566.040            | auth: 565.052
  Child Sexual Abuse                            | ours: 566.067            | auth: 566.100
  Credit Card Fraud                             | ours: 570.130            | auth: 407.436
  Burglary in the Second Degree                 | ours: 569.170            | auth: 569.160
  Commercial Burglary                           | ours: 569.170            | auth: 569.160
  Auto Burglary                                 | ours: 569.170            | auth: 569.160
  Robbery in the Second Degree                  | ours: 570.025            | auth: 570.023
  Bank Robbery                                  | ours: 570.025            | auth: 570.023
  Distribution of Controlled Substance          | ours: 579.020            | auth: 579.015
  Manufacturing Controlled Substance            | ours: 579.055            | auth: 570.030
  Unlawful Carrying of Weapon                   | ours: 571.030            | auth: 571.060
  Felon in Possession of Firearm                | ours: 571.070            | auth: 569.170
  Discharge of Firearm in City                  | ours: 571.030            | auth: 571.031
  Possession of Prohibited Weapon               | ours: 571.020            | auth: 571.072
  Disorderly Conduct                            | ours: 574.010            | auth: 577.712
  Trespassing                                   | ours: 569.140            | auth: 569.150
  Vandalism                                     | ours: 569.100            | auth: 574.085
  Assault 4th Degree                            | ours: 565.056            | auth: 565.052
  Domestic Assault 4th Degree                   | ours: 565.076            | auth: 565.073
  Trespass First Degree                         | ours: 569.010            | auth: 569.140
  Property Damage 2nd Degree                    | ours: 569.120            | auth: 569.100
  Violation of Protective Order                 | ours: 455.085            | auth: 455.538
  Providing False Information to Police         | ours: 575.080            | auth: 193.315
  Solicitation / Prostitution                   | ours: 567.030            | auth: 567.020
  Driving with Expired Registration             | ours: 301.025            | auth: 306.020
  Operating Unregistered / Uninsured Vehicle    | ours: 301.020            | auth: 301.707
  Attempted Murder                              | ours: 564.011            | auth: 565.020
  Attempted Robbery                             | ours: 562.012            | auth: 570.023
  Juvenile Firearm Possession                   | ours: 571.070            | auth: 571.050

MISSING FELONIES — in authoritative source but not in our database:
  Assault First Degree Or Attempt - Serious Physical Injury Or Special Victim | Mo. Rev. Stat. § 565.050 | F/A
  Record Vote Of Member Of House Of Representatives By Other Than The Member | Mo. Rev. Stat. § 21.360 | F / UN
  State Auditor Examiner - Violate Oath Of Office Or Any Duty Imposed By Chapter 29 | Mo. Rev. Stat. § 29.080 | F / UN
  Violation Of Provisions Of Section 30.400 Regarding State Treasurer'S Handling Of State Money Or Bonds | Mo. Rev. Stat. § 30.400 | F / UN
  Breach Of Confidentiality Regarding Taxes          | Mo. Rev. Stat. § 32.057 | F / E
  Acceptance Of Gift/Rebate/Thing Of Value From Bidder By Commissioner Of Administration | Mo. Rev. Stat. § 34.160 | F / UN
  Resist/Aid In Resisting A Force Ordered By The Governor To Execute Laws/Suppress Insurrection/Repel Invasion | Mo. Rev. Stat. § 41.720 | F / UN
  Publication Of False County Financial Statements - Willful Or Knowing Conduct | Mo. Rev. Stat. § 50.815 | F / UN
  Members/Employees Of Land Reutilization Authority - Receive Compensation, Emolument Or Profit From Lands Held By The Authority | Mo. Rev. Stat. § 92.920 | F / UN
  Fraudulent Use Of Facsimile Signature Or Seal      | Mo. Rev. Stat. § 105.276 | F / UN
  Committed Acts Prohibited By Elected And Appointed Public Official And Employees - 2Nd And Subsequent Offense | Mo. Rev. Stat. § 105.452 | F / E
  Accept/Receive Compensation As Paid Political Consultant - 2Nd Or Subsequent Offense | Mo. Rev. Stat. § 105.453 | F / E
  Ethics Violation By Elected Official Or Lobbyist - 2Nd Offense | Mo. Rev. Stat. § 105.454 | F / E
  Elected/Appointed Official Violate Registration Limitation As Lobbyist - 2Nd Or Subsequent | Mo. Rev. Stat. § 105.455 | F / E
  Commit Prohibited Acts By Members Of General Assembly And Statewide Elected Officials - 2Nd Or Subsequent Offense | Mo. Rev. Stat. § 105.456 | F / E
  Committed Act Prohibited By Members Of Governing Bodies Of Political Subdivisions - 2Nd Or Subsequent Offense | Mo. Rev. Stat. § 105.458 | F / E
  Class One Election Offense - Make False Sworn Statement/Affidavit/Statement Of Candidacy Or Sign Such Documents Knowing Statement Is Untrue | Mo. Rev. Stat. § 115.405 | F / UN
